page,source_pages,id,title,duration,version,url,artwork,rawText
1,1,89e28b35-213a-4646-8cfc-c8ecd91ba320,Awakening Between Desire,3:38,v5.5,https://suno.com/song/89e28b35-213a-4646-8cfc-c8ecd91ba320,https://cdn2.suno.ai/image_89e28b35-213a-4646-8cfc-c8ecd91ba320.jpeg?width=100,"3:38Awakening Between Desirev5.5Mystical electronic track with deep ambient textures and sensual heartbeat groove, Hypnotic rhythm blending tribal percussion and slow pulsing bass, fused with ethereal Gregorian-style choir and oriental vocal chants, Reverb-rich synths and cinematic pads create a spiritual yet erotic atmosphere — the sound of awakening between desire and transcendence, BPM 108, key A minor, Style of Suleymer’s Mystique, but with the primal groove of life itselfmystiq11PublishRemix"
1,1,f9b524a7-9322-4f62-bff7-875c7b906148,Awakening Between Desire,3:04,v5.5,https://suno.com/song/f9b524a7-9322-4f62-bff7-875c7b906148,https://cdn2.suno.ai/image_f9b524a7-9322-4f62-bff7-875c7b906148.jpeg?width=100,"3:04Awakening Between Desirev5.5Mystical electronic track with deep ambient textures and sensual heartbeat groove, Hypnotic rhythm blending tribal percussion and slow pulsing bass, fused with ethereal Gregorian-style choir and oriental vocal chants, Reverb-rich synths and cinematic pads create a spiritual yet erotic atmosphere — the sound of awakening between desire and transcendence, BPM 108, key A minor, Style of Suleymer’s Mystique, but with the primal groove of life itselfmystiq11PublishRemix"
1,1,67ac20fc-86ad-4b99-98de-42f1d76cc061,Fancy Boy (Flight Mode),3:05,v5.5,https://suno.com/song/67ac20fc-86ad-4b99-98de-42f1d76cc061,https://cdn2.suno.ai/image_67ac20fc-86ad-4b99-98de-42f1d76cc061.jpeg?width=100,"3:05Fancy Boy (Flight Mode)v5.5Reggae dub electronic fusion at 96 BPM: skanking offbeat guitar chops, deep one-drop kick, springy rimshot snare, and dubwise tape-delay throws on snare, vox, and synth stabs, Sub-heavy bassline, analog sequencer pulses, filtered pad washes, glitchy joystick FX, and spacious reverb tails with dropouts21PublishRemix"
1,1,86f46a91-d9b8-441d-9553-5ac7f22a02a9,Fancy Boy (Flight Mode),2:35,v5.5,https://suno.com/song/86f46a91-d9b8-441d-9553-5ac7f22a02a9,https://cdn2.suno.ai/image_86f46a91-d9b8-441d-9553-5ac7f22a02a9.jpeg?width=100,2:35Fancy Boy (Flight Mode)v5.5(no styles)11PublishRemix
1,1,8ecd910c-ed7d-49d9-9558-d3b3cf12a98f,Fancy Boy (Flight Mode),2:35,v5.5,https://suno.com/song/8ecd910c-ed7d-49d9-9558-d3b3cf12a98f,https://cdn2.suno.ai/image_8ecd910c-ed7d-49d9-9558-d3b3cf12a98f.jpeg?width=100,2:35Fancy Boy (Flight Mode)v5.5(no styles)11PublishRemix
1,1,eeb16f02-2cdf-4d62-a95b-114fd1577721,Fancy Boy (Flight Mode),3:08,v5.5,https://suno.com/song/eeb16f02-2cdf-4d62-a95b-114fd1577721,https://cdn2.suno.ai/image_eeb16f02-2cdf-4d62-a95b-114fd1577721.jpeg?width=100,"3:08Fancy Boy (Flight Mode)v5.5Reggae dub electronic fusion at 96 BPM: skanking offbeat guitar chops, deep one-drop kick, springy rimshot snare, and dubwise tape-delay throws on snare, vox, and synth stabs, Sub-heavy bassline, analog sequencer pulses, filtered pad washes, glitchy joystick FX, and spacious reverb tails with dropoutsPublishRemix"
1,1,dca85dcb-451d-46ea-a338-6c0e1c17a16e,Neon Horizon,4:08,v5.5,https://suno.com/song/dca85dcb-451d-46ea-a338-6c0e1c17a16e,https://cdn2.suno.ai/image_dca85dcb-451d-46ea-a338-6c0e1c17a16e.jpeg?width=100,"4:08Neon Horizonv5.5Psytrance at 142 BPM with a rolling offbeat bassline, tight 4/4 kick, and trance-gated supersaw leads, Delayed synth echoes, filtered noise risers, squelchy acid lines, and arpeggiated plucks with ping-pong delay, Psychedelic, hypnotic mix with long-build tension, crisp percussion, and spacious stereo movement1PublishRemix"
1,1,e0a2500a-0c7f-4b0f-9534-3fd85b3b3da6,Neon Horizon,7:59,v5.5,https://suno.com/song/e0a2500a-0c7f-4b0f-9534-3fd85b3b3da6,https://cdn2.suno.ai/image_e0a2500a-0c7f-4b0f-9534-3fd85b3b3da6.jpeg?width=100,"7:59Neon Horizonv5.5Psytrance at 142 BPM with a rolling offbeat bassline, tight 4/4 kick, and trance-gated supersaw leads, Delayed synth echoes, filtered noise risers, squelchy acid lines, and arpeggiated plucks with ping-pong delay, Psychedelic, hypnotic mix with long-build tension, crisp percussion, and spacious stereo movement1PublishRemix"
1,1,a03d7163-bc00-4a0d-bded-a9d5dad99a44,Neon Pulse,3:29,v5.5,https://suno.com/song/a03d7163-bc00-4a0d-bded-a9d5dad99a44,https://cdn2.suno.ai/image_a03d7163-bc00-4a0d-bded-a9d5dad99a44.jpeg?width=100,3:29Neon Pulsev5.5synth echo psytrance11PublishRemix
1,1,a2a3e314-be2d-4e29-b223-abdc7640e15d,Neon Pulse,7:59,v5.5,https://suno.com/song/a2a3e314-be2d-4e29-b223-abdc7640e15d,https://cdn2.suno.ai/image_a2a3e314-be2d-4e29-b223-abdc7640e15d.jpeg?width=100,7:59Neon Pulsev5.5synth echo psytrance11PublishRemix
1,1,63151a18-d7c9-4ea5-a4da-96fefe9210aa,Storm Inside,4:06,v5.5,https://suno.com/song/63151a18-d7c9-4ea5-a4da-96fefe9210aa,https://cdn2.suno.ai/image_63151a18-d7c9-4ea5-a4da-96fefe9210aa.jpeg?width=100,"4:06Storm Insidev5.5reggae tech dub, virtuoso female vocals, high notes, emotional idol singer, theatrical performance, intense vibrato, angelic falsetto, explosive, vocal flexing, vocal transitions3PublishRemix"
1,1,c2d9e399-1141-41fd-a155-72ba282b44c9,Storm Inside,3:54,v5.5,https://suno.com/song/c2d9e399-1141-41fd-a155-72ba282b44c9,https://cdn2.suno.ai/image_c2d9e399-1141-41fd-a155-72ba282b44c9.jpeg?width=100,"3:54Storm Insidev5.5reggae tech dub, virtuoso female vocals, high notes, emotional idol singer, theatrical performance, intense vibrato, angelic falsetto, explosive, vocal flexing, vocal transitions2PublishRemix"
1,1,4b77d4cc-276a-49d7-9fc2-f7b152be6075,Turn My Tears Into Light,3:44,v5.5,https://suno.com/song/4b77d4cc-276a-49d7-9fc2-f7b152be6075,https://cdn2.suno.ai/image_4b77d4cc-276a-49d7-9fc2-f7b152be6075.jpeg?width=100,"3:44Turn My Tears Into Lightv5.5reggae tech dub, virtuoso female vocals, high notes, emotional idol singer, theatrical performance, intense vibrato, angelic falsetto, explosive, vocal flexing, vocal transitions1PublishRemix"
1,1,ee433f31-e459-432d-8601-9bab6b0eacb3,Turn My Tears Into Light,3:58,v5.5,https://suno.com/song/ee433f31-e459-432d-8601-9bab6b0eacb3,https://cdn2.suno.ai/image_ee433f31-e459-432d-8601-9bab6b0eacb3.jpeg?width=100,"3:58Turn My Tears Into Lightv5.5reggae tech dub, virtuoso female vocals, high notes, emotional idol singer, theatrical performance, intense vibrato, angelic falsetto, explosive, vocal flexing, vocal transitions1PublishRemix"
2,2,069a86aa-75a2-4d52-988b-31bde42ad52c,cryTonight,3:40,v5.5,https://suno.com/song/069a86aa-75a2-4d52-988b-31bde42ad52c,https://cdn2.suno.ai/image_069a86aa-75a2-4d52-988b-31bde42ad52c.jpeg?width=100,"3:40cryTonightv5.5CoverPsychedelic reggae built around one hypnotic source sound: a watery drip, low hum, and crisp click sampled into the groove, Skanking rhythm guitar with spring reverb, fat one-drop drums, dub-style tape delay throws, wobbling organ bubbles, and deep sub-bass, Swirling phaser, echo tails, and spacious live-room textures create a hazy roots-meets-space feel at a laid-back tempoPublishRemix"
